"","id","original_title","genres","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi"
"146","22279","anawfullybigadventure","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","1995-07-21",851545,"4000000",113,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"148","568","apollo13","[{'id': 18, 'name': 'Drama'}]","1995-06-30",355237933,"52000000",140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"149","11780","robroy","[{'id': 12, 'name': 'Adventure'}]","1995-04-13",31596911,"28000000",139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","414","batmanforever","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]","1995-06-16",336529144,"100000000",121,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"154","5894","blueintheface","[{'id': 35, 'name': 'Comedy'}]","1995-09-15",1275000,"2000000",83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","1775","canadianbacon","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","1995-06-08",178104,"11000000",91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"156","8839","casper","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","1995-05-26",287928194,"50000000",100,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","20649","clockers","[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","1995-09-15",13071518,"25000000",128,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"158","10329","congo","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","1995-06-09",152022101,"50000000",109,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
"159","8963","crimsontide","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","1995-05-12",157387195,"53000000",116,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"160","26564","crumb","[{'id': 99, 'name': 'Documentary'}]","1994-09-10",3174695,"0",119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"161","8068","desperado","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]","1995-08-25",25405445,"7000000",104,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"162","8512","devilinabluedress","[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","1995-09-15",16140822,"27000000",102,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"163","1572","diehardwithavengeance","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","1995-05-19",366101666,"90000000",128,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"166","6520","firstknight","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-07-07",127600435,"55000000",134,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"168","10428","hackers","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","1995-09-14",7563728,"20000000",107,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"170","9886","johnnymnemonic","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","1995-05-26",19075720,"25000000",97,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
"171","9482","judgedredd","[{'id': 878, 'name': 'Science Fiction'}]","1995-06-30",113493481,"90000000",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"172","19326","juryduty","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","1995-04-12",17014653,"0",88,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"173","9344","kids","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","1995-07-28",7412216,"1500000",91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"174","9071","livinginoblivion","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","1995-01-20",1148752,"500000",89,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"177","47608","madlove","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","1995-05-26",15453274,"0",95,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"178","2293","mallrats","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]","1995-10-20",2122561,"6000000",94,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"179","9070","mightymorphinpowerrangersthemovie","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","1995-06-30",6.6e+07,"15000000",92,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"181","48787","mutewitness","[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]","1995-09-28",1,"2",95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"183","1642","thenet","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]","1995-07-28",110627965,"22000000",114,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
"184","11472","ninemonths","[{'id': 35, 'name': 'Comedy'}]","1995-07-12",69660733,"0",103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","36196","partygirl","[{'id': 35, 'name': 'Comedy'}]","1995-06-09",472370,"150000",94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","11980","theprophecy","[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","1995-09-01",16,"8",98,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"189","10533","thescarletletter","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]","1995-10-13",10382407,"50000000",135,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"191","10802","showgirls","[{'id': 18, 'name': 'Drama'}]","1995-09-22",20350754,"45000000",128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"192","10149","smoke","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","1995-06-09",8349430,"7000000",112,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"193","18402","somethingtotalkabout","[{'id': 35, 'name': 'Comedy'}]","1995-08-04",50892160,"0",106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","9348","species","[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]","1995-07-07",113374103,"35000000",108,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"196","281","strangedays","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","1995-10-13",7959291,"42000000",145,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
"198","79593","thetiethatbinds","[{'id': 53, 'name': 'Thriller'}]","1995-09-08",5780000,"14000000",99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"199","47939","threewishes","[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]","1995-10-27",7025496,"0",115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"200","36834","totaleclipse","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-11-02",339889,"0",111,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
