"","original_title","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1"
"2423","thefly",11815,1958-07-16,3e+06,7e+05,94,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"davidhedison","kurtneumann",0,0,0,0,"3",1
"2424","thefly",9426,1986-08-15,60629159,1.5e+07,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"jeffgoldblum","davidcronenberg",2,6,154191892,0,"3",1
"2425","theflyii",10344,1989-02-10,38903179,24078133.8007948,105,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"ericstoltz","chriswalas",1,0,0,0,"1",1
"2426","thefog",790,1980-02-08,21378361,1e+06,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"adriennebarbeau","johncarpenter",0,6,123399514,1,"1",1
"2428","theformula",31603,1980-01-01,8894289,24078133.8007948,117,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"georgecscott","johngavildsen",2,3,240678123,0,"1",0
"2429","thefourthwar",51434,1990-03-08,1305887,24078133.8007948,91,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"royscheider","johnfrankenheimer",0,2,81796749,0,"1",0
"2430","thefoxandthehound",10948,1981-07-10,29800000,1.2e+07,82,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"mickeyrooney","tedberman",0,0,0,0,"3",1
"2431","thefrenchlieutenantswoman",12537,1981-08-28,2689068,24078133.8007948,124,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"merylstreep","karelreisz",5,0,0,0,"3",0
"2432","thefrighteners",10779,1996-07-18,29359216,3e+07,110,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"michaeljfox","peterjackson",1,2,1892471932,0,"3",0
"2433","thefrozenground",199373,2013-07-18,5496951,27220000,105,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"nicolascage","scottwalker",1,0,0,1,"3",0
"2434","thefugitive",5503,1993-08-06,368875760,4.4e+07,130,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"harrisonford","andrewdavis",4,0,0,1,"3",1
"2435","thefuneral",21612,1996-01-26,1227324,12500000,99,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"christopherwalken","abelferrara",1,0,0,1,"1",0
"2436","thegallows",299245,2015-07-10,42664410,1e+05,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"cassidygifford","traviscluff",0,0,0,1,"3",1
"2437","thegauntlet",17689,1977-12-21,26414658,5500000,109,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"clinteastwood","clinteastwood",14,22,2393752832,0,"4",1
"2438","thegeneral",16885,1998-05-01,1214198,24078133.8007948,124,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"brendangleeson","johnboorman",1,1,28008462,0,"2",0
"2439","thegetaway",2087,1994-02-11,30,24078133.8007948,115,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,"alecbaldwin","rogerdonaldson",0,3,311875763,0,"1",0
"2440","theghostandthedarkness",10586,1996-10-11,7.5e+07,5e+07,109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"michaeldouglas","stephenhopkins",4,4,223995173,1,"4",1
"2441","thegift",2046,2000-12-22,12008642,1e+07,111,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,"cateblanchett","samraimi",4,1,491868548,1,"4",1
"2443","thegift",328425,2015-07-30,58978653,5e+06,108,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"jasonbateman","joeledgerton",0,0,0,1,"3",1
"2445","thegirlfriendexperience",17680,2009-01-20,1007962,1700000,77,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"sashagrey","stevensoderbergh",0,3,216194177,1,"1",0
"2446","theglasshouse",2176,2001-09-14,23619609,3e+07,106,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"leeleesobieski","danielsackheim",0,0,0,1,"3",0
"2447","thegodfatherpartii",240,1974-12-20,47542841,1.3e+07,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"alpacino","francisfordcoppola",11,7,581052643,1,"4",1
"2448","thegodfatherpartiii",242,1990-12-24,136766062,5.4e+07,162,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"alpacino","francisfordcoppola",6,2,274483665,1,"4",1
"2449","thegodsmustbecrazy",8393,1980-09-10,6e+07,5e+06,109,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"nxau","jamieuys",0,0,0,0,"3",1
"2450","thegoldenvoyageofsinbad",17897,1973-12-20,1.1e+07,24078133.8007948,105,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"johnphilliplaw","gordonhessler",0,0,0,0,"4",0
"2451","thegoldrush",962,1925-06-25,2500000,923000,95,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"charliechaplin","charliechaplin",2,3,13019181,0,"2",1
