"","X","budget","runtime","comedy","family","adventure","drama","history","horror","documentary","actorMovieCount","directorMovieCount","domestic","newyearsday","presidentsday","christmaseve","newyearsdayobserved","DirectorEarnings","success_1_to_1"
"146",146,24078133.8007948,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",147,2.8e+07,102,0,0,0,0,0,0,0,1,1,1,0,0,0,0,90565421,1
"148",148,2.6e+07,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"149",149,1e+06,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"150",150,560000,88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"151",151,3.2e+07,96,0,0,0,1,0,0,0,0,3,1,0,0,0,0,83912762,1
"152",152,3e+07,97,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"153",153,24078133.8007948,112,1,0,1,1,0,0,0,5,4,0,0,0,0,0,411104981,1
"154",154,3e+06,98,1,1,0,1,0,0,0,1,1,1,0,0,0,0,95404397,1
"155",155,24078133.8007948,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",156,4500000,126,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"157",157,3500000,88,1,0,0,0,0,0,0,1,3,1,0,0,0,0,271721043,1
"158",158,24078133.8007948,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"159",159,3e+06,107,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"160",160,3500000,159,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1
"161",161,24078133.8007948,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"162",162,24078133.8007948,104,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"163",163,4e+07,128,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1
"164",164,2.8e+07,81,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"165",165,24078133.8007948,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",166,1.1e+07,117,0,0,0,0,0,1,0,0,6,1,0,0,0,0,1061882654,1
"167",167,5e+07,114,0,0,0,0,0,1,0,1,1,0,0,0,0,0,369330363,1
"168",168,18500000,137,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1
"169",169,24078133.8007948,106,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"170",170,1.4e+07,95,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1
"171",171,24078133.8007948,110,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"172",172,24078133.8007948,92,1,1,0,1,0,0,0,0,1,0,0,0,0,0,22955097,0
"173",173,24078133.8007948,123,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1
"174",174,1.5e+07,99,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"175",175,24078133.8007948,91,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
"176",176,1.7e+07,111,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"177",177,8e+06,112,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"178",178,3.7e+07,105,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"179",179,2e+07,93,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"180",180,2e+07,96,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"181",181,1e+06,78,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"182",182,24078133.8007948,96,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"183",183,1e+07,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"184",184,2e+07,88,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"185",185,1.5e+07,102,0,0,0,1,0,1,0,2,2,0,0,0,0,0,1339404,1
"186",186,3.1e+07,122,0,0,0,1,0,0,0,2,8,0,0,0,0,0,2662406879,1
"187",187,24078133.8007948,133,1,0,0,1,0,0,0,0,3,0,0,0,0,0,178773452,1
"188",188,24078133.8007948,99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"189",189,344,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",190,1.5e+07,122,0,0,0,1,0,0,0,4,1,1,0,0,0,0,14899417,1
"191",191,24078133.8007948,88,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"192",192,24078133.8007948,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"193",193,24078133.8007948,113,0,0,0,1,0,0,0,10,1,0,0,0,0,0,8175346,0
"194",194,777000,110,1,0,0,1,0,0,0,4,2,1,0,0,0,0,1424796335,1
"195",195,24078133.8007948,162,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"196",196,24078133.8007948,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,760883,0
"197",197,24078133.8007948,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",198,24078133.8007948,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"199",199,2.8e+07,96,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"200",200,24078133.8007948,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",201,5.5e+07,103,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"202",202,1.6e+07,100,0,0,0,1,0,0,0,1,1,1,1,0,0,0,951179,1
"203",203,6e+06,91,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5542025,1
"204",204,3.6e+07,155,0,0,0,1,1,0,0,6,3,1,0,0,0,0,817011965,1
"205",205,24078133.8007948,105,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1e+08,0
"206",206,2e+06,154,0,0,0,1,0,0,0,2,1,1,0,0,0,0,60427839,1
"207",207,24078133.8007948,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",208,4.5e+07,89,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1
"209",209,1e+07,86,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"210",210,2e+07,83,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"211",211,2723903,113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"212",212,24078133.8007948,106,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"213",213,9e+06,80,0,1,1,1,0,0,0,1,1,0,0,0,0,0,84460846,1
"214",214,24078133.8007948,75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"215",215,1e+07,97,1,0,0,0,0,1,0,0,4,0,0,0,0,0,399903685,1
"216",216,5e+07,119,1,0,0,0,0,0,0,2,1,1,0,0,0,0,133346506,1
"217",217,24078133.8007948,119,0,0,0,1,0,0,0,9,2,0,0,0,0,0,95777588,1
"218",218,1.8e+07,94,1,0,0,1,0,0,0,0,1,1,0,0,0,0,30400,1
"219",219,24078133.8007948,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",220,7500000,100,0,0,0,1,0,0,0,0,3,1,0,0,0,0,73708944,1
"221",221,25,145,0,0,0,1,0,0,0,0,1,1,0,0,0,0,38955598,0
"222",222,5.3e+07,102,0,0,0,1,0,0,0,1,1,1,0,0,0,0,6916869,0
"223",223,24078133.8007948,102,1,1,0,1,0,0,0,0,1,0,0,0,0,0,140987,1
"224",224,24078133.8007948,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
